condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,1,2,39,,1,,38,,0.271638201,0.46,0.004923011,-0.00057193,,,1.921016436,,,2,,0.300036934,0.414,0.037516363,0.071601278,,,1.921016436
2,1,1,2,40,,1,,39,,0.210816306,0.322,0.027568568,0.034971206,,,1.542201055,,,2,,0.228227273,0.46,0.026215476,0.048227688,,,1.542201055
2,1,1,2,41,,1,,40,,0.21420628,0.322,0.015677997,0.006875848,,,1.542201055,,,2,,0.21811351,0.414,-0.000209648,0.032492319,,,1.542201055
2,1,1,2,42,,1,,41,,0.203762782,0.322,0.02670882,0.029846401,,,1.606710958,,,2,,0.23041437,0.414,0.002609838,0.036808243,,,1.606710958
2,1,1,2,43,,1,,42,,0.200695248,0.276,0.013702329,0.010253369,,,1.486305516,,,2,,0.215846341,0.368,-0.005755671,0.007889921,,,1.486305516
2,1,1,2,44,,1,,43,,0.211552047,0.322,0.00984896,0.007679162,,,1.572096721,,,2,,0.220419625,0.322,0.020462377,0.016376597,,,1.572096721
2,1,1,2,45,,1,,44,,0.200846003,0.368,-0.012579801,-0.014331691,,,1.745577303,,,2,,0.181324363,0.322,0.031893903,0.033009149,,,1.745577303
2,1,1,2,46,,1,,45,,0.195700344,0.414,0.009552715,0.009713091,,,1.921016436,,,2,,0.208348478,0.368,0.014267459,0.014490759,,,1.921016436
2,1,1,2,47,,1,,46,,0.210219985,0.368,0.042591168,0.034485107,,,2.345549023,,,2,,0.22237805,0.368,0.0216817,0.027544153,,,2.345549023
2,1,1,2,48,,1,,47,,0.19703466,0.368,0.015077246,0.008965971,,,2.365312712,,,2,,0.207858771,0.322,0.029826492,0.016882559,,,2.365312712
2,1,1,2,49,,1,,48,,0.202582561,0.368,-0.00354097,-0.006172003,,,2.444500816,,,2,,0.201523792,0.322,0.028202941,0.018862071,,,2.444500816
2,1,1,2,50,,1,,49,,0.202805736,0.414,0.017396829,0.009881854,,,2.358145081,,,2,,0.216139269,0.368,0.067371993,0.081543024,,,2.358145081
2,1,1,2,51,,1,,50,,0.215395443,0.414,-0.004042736,-0.00360115,,,2.186815079,,,2,,0.203157504,0.368,0.015396085,0.012165055,,,2.186815079
2,1,1,2,52,,1,,51,,0.203223245,0.368,0.023551816,0.026670467,,,1.97532381,,,2,,0.213381515,0.368,0.027869174,0.027597844,,,1.97532381
2,1,1,2,53,,1,,52,,0.194124958,0.368,0.024633328,0.023220698,,,1.97532381,,,2,,0.195458122,0.368,0.036083761,0.031917975,,,1.97532381
2,1,1,2,54,,1,,53,,0.237503485,0.46,0.030726444,0.025925625,,,1.97532381,,,2,,0.234239615,0.368,0.0216865,0.022798518,,,1.97532381
2,1,1,2,55,,1,,54,,0.2870223,0.506,0.020422521,-0.002422931,,,2.099939089,,,2,,0.297107814,0.506,0.00585882,0.014370205,,,2.099939089
2,1,1,2,56,,1,,55,,0.22367451,0.414,0.028770235,0.028562514,,,1.934189275,,,2,,0.234478809,0.414,0.02207452,0.021217172,,,1.934189275
2,1,1,2,57,,1,,56,,0.234012309,0.414,0.018073122,0.020568761,,,1.851464322,,,2,,0.235082209,0.322,0.022991919,0.020419072,,,1.851464322
2,1,1,2,58,,1,,57,,0.301156287,0.46,0.038160365,0.046978137,,,1.769655369,,,2,,0.284970904,0.46,0.022466345,0.03123281,,,1.769655369
2,1,1,2,59,,1,,58,,0.265265525,0.414,0.016739311,-0.000628101,,,1.564000031,,,2,,0.281874193,0.368,0.018920586,0.01576361,,,1.564000031
2,1,1,2,60,,1,,59,,0.260727108,0.368,0.020632033,-0.00427766,,,1.769655369,,,2,,0.265398934,0.46,0.030406323,0.022104776,,,1.769655369
2,1,1,2,61,,1,,60,,0.28137115,0.414,0.011747721,-0.02437783,,,1.851464322,,,2,,0.264124284,0.368,0.040259715,0.041585878,,,1.851464322
2,1,1,2,62,,1,,61,,0.239163573,0.368,0.011158963,-0.007237207,,,1.894395984,,,2,,0.254821861,0.368,0.015975141,0.026858773,,,1.894395984
2,1,1,2,63,,1,,62,,0.240828069,0.414,0.024323034,0.024120828,,,1.940742165,,,2,,0.260203098,0.414,0.039886832,0.027515683,,,1.940742165
2,1,1,2,64,,1,,63,,0.280222356,0.414,0.021941528,0.002680574,,,1.862858057,,,2,,0.250394667,0.414,0.021307704,0.016486397,,,1.862858057
2,1,1,2,65,,1,,64,,0.224955208,0.322,0.102962485,0.0359322,,,1.711298956,,,2,,0.246761994,0.368,0.015895006,0.022099056,,,1.711298956
2,1,1,2,66,,1,,65,,0.261698486,0.368,0.039829805,0.03682527,,,1.65855362,,,2,,0.225557826,0.322,0.038706728,0.045585109,,,1.65855362
2,1,2,1,2,,1,,1,,0.195648027,0.322,0.01624745,0.015267513,,,2.945437208,,,2,,0.208087156,0.368,-0.003814859,-0.008535099,,,2.945437208
