"condition","Cell index","KT pairs","KT","KT data path","ch1meanx[]","ch2meanx[]","ch1meany[]","ch2meany[]","ch1SDx[]","ch2SDx[]","ch1SDy[]","ch2SDy[]","ch1tail[]","ch2tail[]","ch1maxtail[]","ch2maxtail[]","ch1lefttailcount[]","ch1righttailcount[]","ch2lefttailcount[]","ch2righttailcount[]","sdxymovementdata[]_Normalized","sistersdxymovementdata[]_Normalized","meanspeeddata[]_Normalized","meanspeedsisterdata[]_Normalized","sdspeeddata[]_Normalized","sdspeedsisterdata[]_Normalized","sdkkdistance[]_Normalized","meankkdistance[]_Normalized","meanxlocation[]","meanylocation[]","meanzlocation[]"
1,5,3,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\15-14\14\(+-1)\ch1KT14.csv",0.6879860678082518,0.5629299730482498,0.4856133123413247,0.4607207318896761,0.16237847285861606,0.07818614069772424,0.039491896592414755,0.041984551889510696,"True","True",1.130683100074731,0.9587424400305947,16,34,4,15,0.9410664336171534,0.9410664336171534,0.7262743547169269,0.7262743547169269,0.5864400741305205,0.5864400741305205,0.9414034715550031,0.9800223047982307,10.192187736475155,7.333586565551226,1.0294556732762294
1,5,3,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\15-14\15\(+-1)\ch1KT15.csv",0.47459235094433083,0.44935314306014584,0.4208120880473044,0.3964487244156796,0.03061096048698851,0.02244001472472687,0.03262372731213547,0.020783874642076094,"True","False",1.1691756507467281,0,1,1,0,0,0.7248050915861836,0.7248050915861836,0.789116475004056,0.789116475004056,0.7455714560598453,0.7455714560598453,0.9414034715550031,0.9800223047982307,7.448156985211739,6.8990506354010845,0.84855584290162
1,5,5,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\19-7\19\(+-1)\ch1KT19.csv",0.43251770291621167,0.42038393841936894,0.4881336976397321,0.4773777155120925,0.02737761301207847,0.023288446366783216,0.02711192938003468,0.030285592935773934,"False","False",0,0,0,0,0,0,0.922401252424245,0.922401252424245,1.3284662587438985,1.3284662587438985,1.5241744549106642,1.5241744549106642,1.3462382489583322,0.9778308783024474,8.55298263554712,15.303898950077006,1.751041560297505
1,5,5,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\19-7\7\(+-1)\ch1KT7.csv",0.533369961067264,0.48143985195352024,0.48252614330307775,0.44803669424874804,0.06300515916022185,0.05294530010731199,0.034903485588867265,0.02827672192215092,"True","True",-0.383582284213984,0.5173873356229353,1,0,0,1,0.8590093116669394,0.8590093116669394,1.00220788607831,1.00220788607831,0.8822721647791115,0.8822721647791115,1.3462382489583322,0.9778308783024474,11.337457805653694,15.473633548154117,1.7079698202305567
1,5,7,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\23-24\23\(+-1)\ch1KT23.csv",0.4399582211606102,0.42413938499609577,0.5111588656356281,0.48013837625292616,0.03530002995558032,0.03718549697664878,0.02458515142985101,0.022499056836384704,"False","False",0,0,0,0,0,0,1.2091773942794182,1.2091773942794182,1.1135030620678021,1.1135030620678021,1.1010026453926178,1.1010026453926178,1.1006051692997996,1.0503890771053286,8.482061297678795,11.252558843786694,2.107948543879383
1,5,7,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\23-24\24\(+-1)\ch1KT24.csv",0.525267792468852,0.493341031896077,0.4909551234170026,0.4569231113521979,0.08485486737305548,0.08022707865527534,0.03166211141066752,0.02855234183421339,"True","True",-0.5527553201485187,-0.5785915700470029,6,0,4,0,1.2228018365327327,1.2228018365327327,1.1046696409972296,1.1046696409972296,1.1256027146346677,1.1256027146346677,1.107478161830875,1.0519257223201157,11.470185291022675,11.428923855758395,1.8558265833780427
1,5,9,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\8-16\16\(+-1)\ch1KT16.csv",0.5045785934212454,0.4543647999473371,0.4437063184507489,0.4281821277365367,0.04880053432436776,0.034718084229812464,0.025385767579463845,0.02465070942758468,"True","True",-0.6129827297710704,-0.418513845696614,6,0,1,0,1.0443999254090137,1.0443999254090137,0.9188225777148687,0.9188225777148687,0.914412977367936,0.914412977367936,0.6253959332148408,0.9934763431842057,11.176713007455017,13.382767132800025,2.079987986234013
1,5,9,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 5\ch1\8-16\8\(+-1)\ch1KT8.csv",0.4295755076421691,0.4068621955799825,0.47852600238236287,0.43568353135543403,0.026431205489600724,0.01983719238285726,0.043196791556827145,0.03955344754702651,"False","False",0,0,0,0,0,0,1.076338754484314,1.076338754484314,1.016939744676909,1.016939744676909,1.1205235127246367,1.1205235127246367,0.5912372946278142,0.9885024911889929,8.3476065410964,13.343869523100027,2.1684844472557954
1,6,3,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\14-13\13\(+-1)\ch1KT13.csv",0.43205177792233274,0.3904876086607857,0.422162034480987,0.38246348585679796,0.045090822972727984,0.032605813882478095,0.032366932048918474,0.02525308948279784,"True","False",0.4707878771938365,0,0,1,0,0,1.3170250892198458,1.3170250892198458,1.2764249710738504,1.2764249710738504,1.0863783528540205,1.0863783528540205,1.3521589670635585,0.8552492020917598,16.672308086181772,7.706100172373144,1.4634706730201545
1,6,3,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\14-13\14\(+-1)\ch1KT14.csv",0.4641713537939561,0.41953692363917217,0.5356187873698093,0.44093494171964576,0.0684217212616834,0.045122685490490366,0.11123976414372252,0.08136409947585244,"True","True",0.7866771305003231,-0.7862789518023601,3,4,2,1,0.5004702203156337,0.5004702203156337,0.5992435637168972,0.5992435637168972,0.6212869657522211,0.6212869657522211,1.3521589670635585,0.8552492020917598,14.054817062333052,7.901992526620138,1.3358387545404071
1,6,5,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\17-16\16\(+-1)\ch1KT16.csv",0.41683964312114047,0.3785452953189534,0.4956033170467663,0.4280375544278565,0.037732542321136174,0.03358457634524783,0.03889733735261531,0.02891145172062587,"False","False",0,0,0,0,0,0,0.8532212654517977,0.8532212654517977,0.9083387791425727,0.9083387791425727,0.8906925044614519,0.8906925044614519,0.7931314860710735,1.1291836169796898,14.455021078585562,14.37830833088632,0.8408577506786614
1,6,5,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\17-16\17\(+-1)\ch1KT17.csv",0.4203659174172303,0.384478949120776,0.44236665940782516,0.40541493214008384,0.03986396381632988,0.026446351106973628,0.036817751202800716,0.032651589914386776,"False","False",0,0,0,0,0,0,0.8873895551927916,0.8873895551927916,0.942413536497515,0.942413536497515,1.2511490787912254,1.2511490787912254,0.7931314860710735,1.1291836169796898,10.999702752568504,14.182482588323099,1.3144675215239612
1,6,7,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\21-12\12\(+-1)\ch1KT12.csv",0.5222500821464984,0.4762142935129574,0.47824222154479695,0.4192283173906069,0.14064492660808797,0.10321974203820261,0.07479079401665185,0.0646716374077925,"True","True",1.0633035059019997,0.929311208115811,10,4,4,2,1.008191686919546,1.008191686919546,0.9930899489914703,0.9930899489914703,0.9584698545451417,0.9584698545451417,0.7843687740982324,0.910509553054412,15.64405206942932,12.73148372504688,0.5867814734604674
1,6,7,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\21-12\21\(+-1)\ch1KT21.csv",0.39129225928449085,0.36262167629102204,0.4882019567211991,0.3877414518402163,0.02972855850135429,0.01832739264883912,0.03857060056989697,0.02012071537540461,"False","False",0,0,0,0,0,0,1.082140416897115,1.082140416897115,1.0694023134545745,1.0694023134545745,1.0348603255662652,1.0348603255662652,0.7881459928544204,0.9127280158396394,12.862891601309071,12.746982324276077,1.034765687828806
1,6,9,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\22-23\22\(+-1)\ch1KT22.csv",0.43829556214390564,0.43498342166992365,0.44934653213125764,0.42260231300496826,0.06316839859478325,0.0837233534160862,0.03347986182284187,0.046249574052881465,"True","True",0.9349774059399402,1.0067176618309281,1,1,2,1,1.02043041813612,1.02043041813612,0.7523571038693242,0.7523571038693242,0.8147163792219372,0.8147163792219372,1.060842270236092,1.1102761319735983,12.921114961024461,11.26561808978501,1.4730072068711328
1,6,9,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 6\ch1\22-23\23\(+-1)\ch1KT23.csv",0.4260370802523634,0.40642326414086466,0.5315122570283807,0.482948249028156,0.04713809521464247,0.0394457013841028,0.04971667793565576,0.03850384300772743,"True","False",-0.42371033140229736,0,1,0,0,0,1.3311313478671511,1.3311313478671511,1.4587297832537969,1.4587297832537969,1.3424465388077378,1.3424465388077378,1.076062056541991,1.0976206609894508,16.311003555164785,11.118155926150973,0.7743832104975373
1,7,3,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 7\ch1\2-0\0\(+-1)\ch1KT0.csv",0.5253246703242763,0.5013268188397156,0.46421947531362434,0.4552156936134338,0.057510432948362056,0.0802091493246136,0.06613934070997167,0.047514079352771785,"True","True",-1.0705727864384462,-0.8139902138030761,6,2,5,2,1.197460155891836,1.197460155891836,0.8261571279389994,0.8261571279389994,0.7025466286716753,0.7025466286716753,0.72399061894418,0.7962824694791014,12.815002187200495,14.28966903946938,1.2845614187106935
1,7,3,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 7\ch1\2-0\2\(+-1)\ch1KT2.csv",0.4671412869162033,0.4374134884633028,0.46733545843464186,0.46193846753080653,0.05450345774662047,0.04302627374994767,0.052907013512025806,0.049936108877574145,"True","False",0.4353159378512348,0,0,2,0,0,0.9744355797956057,0.9744355797956057,0.7717249836046612,0.7717249836046612,0.7189801749245389,0.7189801749245389,0.72399061894418,0.7962824694791014,11.186018378786862,13.73152218404628,1.4194323758003828
1,7,5,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 7\ch1\5-8\5\(+-1)\ch1KT5.csv",0.44129471881180926,0.4348395636251558,0.4157151344535089,0.4176337263013673,0.07946399847789008,0.060706981861295355,0.024002044757631315,0.03352071601667407,"True","True",0.6985956195741567,-0.49051213396330556,3,1,2,0,0.7119841763560223,0.7119841763560223,0.9433849124276855,0.9433849124276855,1.1797009149245572,1.1797009149245572,1.1647096297688062,1.1736947640319852,11.391008785504482,8.370827519865855,0.20039693382534027
