"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1 (normalized)","tail or not ch1","tail direction ch1","WidthX Ch2 (normalized)","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
1,2,5,1,11,0.15380800882856605,0.09400875367948203,-0.07878829554783295,1,0.9461862953304121,"False","",0.966441636944195,"False","",-0.1996881925403784,0.10358021990955812,-0.0274595512430591,11
1,2,5,1,12,0.039982128278817086,0.09318003363633842,-0.040967463603177046,1,0.9955435253380484,"False","",0.9799521321547864,"False","",-0.04588018371181235,0.19758897358904015,-0.10624784679089205,12
1,2,5,1,13,0.19797798034615433,0.004236366363359778,-0.0016104290443018643,1,0.9384025747270383,"False","",0.9572673891716564,"False","",-0.005898055432995264,0.2907690072253786,-0.1472153103940691,13
1,2,5,1,14,0.09122350655691491,-0.01486309221135862,0.004454015412120149,1,0.9498675928277024,"False","",0.9675829844928829,"False","",0.19207992491315906,0.29500537358873835,-0.14882573943837096,14
1,2,5,1,15,0.19068229058130193,-0.07982511141452875,0.07866747718479394,1,0.9672658195987276,"False","",0.9340143182331079,"False","",0.283303431470074,0.28014228137737973,-0.14437172402625081,15
1,2,5,1,16,0.05905491147392894,-0.021700838503042164,0.07941125867386495,1,0.9127908863070398,"False","",0.9198651344368025,"False","",0.4739857220513759,0.20031716996285098,-0.06570424684145687,16
1,2,5,1,17,0.0907185744678376,0.01716548522376371,-0.2563588945540477,1,0.9996916219702234,"False","",0.9679493725755878,"False","",0.5330406335253048,0.17861633145980882,0.013707011832408078,17
1,2,5,1,18,0.14369122341021878,-0.01778733313266656,-0.1729902532525215,1,1.0080179906883653,"False","",0.9507878026342433,"False","",0.6237592079931424,0.19578181668357253,-0.24265188272163962,18
1,2,5,1,19,0.27600000552000026,-0.18400000367999958,0.,1,0.9413446506734974,"False","",0.9056942514154441,"False","",0.7674504314033612,0.17799448355090597,-0.4156421359741611,19
1,2,5,1,20,-0.18400000367999958,0.09200000184000068,0.,1,0.8939298039680964,"False","",0.9588796827236933,"False","",1.0434504369233615,-0.006005520129093611,-0.4156421359741611,20
1,2,5,1,21,-0.09200000184000068,0.,0.,1,1.227551944884566,"False","",1.2648883271656017,"False","",0.8594504332433619,0.08599448171090707,-0.4156421359741611,21
1,2,5,1,22,0.,-0.09200000184000068,0.,1,1.1786022579607618,"False","",1.2952045366304437,"False","",0.7674504314033612,0.08599448171090707,-0.4156421359741611,22
1,2,5,1,23,0.,-0.18400000367999958,0.,1,1.0791328009454209,"False","",1.1735345442436722,"False","",0.7674504314033612,-0.006005520129093611,-0.4156421359741611,23
1,2,5,1,24,0.,0.0920000018399989,0.,1,1.2009363565016662,"False","",1.2070488463564117,"False","",0.7674504314033612,-0.1900055238090932,-0.4156421359741611,24
1,2,5,2,1,-0.308701029977394,-0.003284189719302333,-0.11696139900724245,-1,0.9169806998807033,"False","",0.9253628930071216,"False","",-1.3365742245798735,0.1803126855736128,0.1383594876694757,1
1,2,5,2,2,-0.3503562204789681,0.11831944871158839,-0.04411563525758755,-1,0.9028833163768082,"False","",0.9782896577179641,"False","",-1.0278731946024795,0.18359687529291513,0.25532088667671815,2
1,2,5,2,3,-0.31179957455436913,0.2913339218526172,0.05488427460616929,-1,1.032516784483724,"False","",1.0727977262998076,"False","",-0.6775169741235114,0.06527742658132674,0.2994365219343057,3
1,2,5,2,4,-0.35388413115060224,0.11173711063654146,-0.06848975654766432,-1,1.0101713255722249,"False","",1.051839513387003,"False","",-0.3657173995691423,-0.22605649527129046,0.2445522473281364,4
1,2,5,2,5,-0.29157747510032017,0.1221177593286562,0.03208441632099679,-1,0.9354232244911269,"False","",1.021145752128871,"False","",-0.011833268418540044,-0.3377936059078319,0.3130420038758007,5
1,2,5,2,6,-0.33185766495366664,-0.15027865981475763,-0.015661612203930808,-1,0.9861850447500448,"False","",0.9589447007525855,"False","",0.2797442066817801,-0.4599113652364881,0.28095758755480393,6
1,2,5,2,7,0.43618884486200216,0.06576741940509478,0.005849557682705564,-1,0.9841885403461509,"False","",0.9824027165881056,"False","",0.6116018716354468,-0.3096327054217305,0.29661919975873474,7
1,2,5,2,8,0.40244377023661926,-0.025850270047696355,0.19050051578359817,-1,0.9781682091142999,"False","",1.0134452497087147,"False","",0.1754130267734446,-0.3754001248268253,0.2907696420760292,8
1,2,5,2,9,0.06964309733615792,-0.25312200552274433,0.033970019793164274,-1,0.9478745220734934,"False","",0.977462690748537,"False","",-0.22703074346317464,-0.3495498547791289,0.10026912629243101,9
1,2,5,2,10,-0.04887632211718973,-0.12432600556338436,0.0014282094713853333,-1,1.0785808717738148,"False","",1.0673557439970378,"False","",-0.29667384079933257,-0.09642784925638459,0.06629910649926674,10
1,2,5,2,11,-0.03864626221247569,-0.0787366022786884,0.11662309071199162,-1,0.9639236169367082,"False","",0.9793396906980729,"False","",-0.24779751868214284,0.027898156306999766,0.0648708970278814,11
1,2,5,2,12,0.04551499327401842,-0.12909578476936368,0.040130169773912816,-1,1.0482125461080707,"False","",1.0132449901216307,"False","",-0.20915125646966715,0.10663475858568816,-0.051752193684110215,12
1,2,5,2,13,-0.22132456405972256,-0.01899930954516371,-0.10060853870887987,-1,1.0032235105831904,"False","",0.9874090602751326,"False","",-0.25466624974368557,0.23573054335505184,-0.09188236345802303,13
1,2,5,2,14,-0.005265169402624892,0.039686521599906044,-0.060413027041986256,-1,1.0422378232522589,"False","",0.9937866779570675,"False","",-0.03334168568396301,0.25472985290021555,0.008726175250856838,14
1,2,5,2,15,-0.1891210177558431,0.021445746757736472,-0.05731988811936439,-1,1.0006702396946379,"False","",1.0153770256765509,"False","",-0.028076516281338115,0.2150433313003095,0.0691392022928431,15
1,2,5,2,16,-0.00007330321696663589,-0.04252775046948898,0.04452963770614038,-1,0.991581016639961,"False","",0.9977342740777337,"False","",0.161044501474505,0.19359758454257303,0.1264590904122075,16
1,2,5,2,17,-0.033068857433946164,-0.038850101174102036,0.07373746012901705,-1,0.9393563680672613,"False","",1.024600178732607,"False","",0.16111780469147163,0.236125335012062,0.08192945270606711,17
1,2,5,2,18,-0.08547919000901771,-0.08016614843690029,0.17256468645343426,-1,1.0011329395522734,"False","",0.957396369762549,"False","",0.1941866621254178,0.27497543618616405,0.008191992577050056,18
1,2,5,2,19,-0.19345118954690577,0.17598236455899574,0.06642349654419055,-1,0.9239543463168391,"False","",0.9172022205808144,"False","",0.2796658521344355,0.35514158462306433,-0.1643726938763842,19
1,2,5,2,20,0.03512446075234621,0.0050188817206642256,0.23149673541010563,-1,1.0498722030369407,"False","",1.0263997811844765,"False","",0.4731170416813413,0.1791592200640686,-0.23079619042057475,20
1,2,5,2,21,0.08837355160331839,0.09346201768653373,-0.02615917237520826,-1,1.032748429264796,"False","",0.9879270291308765,"False","",0.43799258092899507,0.17414033834340437,-0.4622929258306804,21
1,2,5,2,22,-0.12116348365565344,0.07164410321218107,-0.030261596644368338,-1,1.0416095213449474,"False","",1.0032876410695744,"False","",0.3496190293256767,0.08067832065687064,-0.4361337534554721,22
1,2,5,2,23,0.0010996803671723399,0.2972481621934797,-0.0409036146789169,-1,1.051231591499444,"False","",0.9662984351030127,"False","",0.4707825129813301,0.009034217444689574,-0.4058721568111038,23
1,2,5,2,24,-0.1826021167546905,0.040875776571819955,0.07190325813188514,-1,1.137273308840279,"False","",1.0809499812941503,"False","",0.4696828326141578,-0.28821394474879014,-0.3649685421321869,24
""
""
1,2,7,1,1,-0.04438125881542199,0.09827609842955187,0.13537927240120995,-1,0.9810174391894066,"False","",1.0859037092662418,"False","",-0.14405939759128117,0.12919525867726378,0.14536760657456593,1
1,2,7,1,2,-0.08772045961545949,-0.07781308505997231,-0.19663649533339744,-1,0.9580772486392187,"False","",0.9343600647659484,"False","",-0.09967813877585918,0.030919160247711908,0.009988334173355984,2
1,2,7,1,3,-0.06432480209567615,0.028402462860236177,0.011874240197706332,-1,0.960861236453962,"False","",1.0545912181649297,"False","",-0.011957679160399692,0.10873224530768422,0.20662482950675343,3
1,2,7,1,4,-0.13023468172176855,-0.043869781640222705,0.0338508844659724,-1,1.0373118074007426,"False","",1.0583806425203595,"False","",0.052367122935276456,0.08032978244744804,0.1947505893090471,4
1,2,7,1,5,0.07296591611937053,-0.08363514012638351,0.10951267736552484,-1,0.9891192459266863,"False","",1.0310447671863936,"False","",0.182601804657045,0.12419956408767074,0.1608997048430747,5
1,2,7,1,6,-0.12404695383399478,-0.01512005368301228,-0.11059474540588998,-1,0.9644124199353385,"False","",0.999667619123304,"False","",0.10963588853767448,0.20783470421405426,0.05138702747754986,6
1,2,7,1,7,0.07723397361192497,0.08552898462012504,0.04468010204911166,-1,0.9478894674037531,"False","",0.9406684701027375,"False","",0.23368284237166925,0.22295475789706654,0.16198177288343985,7
1,2,7,1,8,0.10132464282523479,-0.01426928839110797,-0.04670859784744663,-1,0.935996292753491,"False","",1.0148356347017995,"False","",0.1564488687597443,0.1374257732769415,0.11730167083432819,8
1,2,7,1,9,0.048485549822189,0.0830988150285048,0.03158114776723431,-1,0.9332197066449586,"False","",0.9368370121543903,"False","",0.055124225934509496,0.15169506166804947,0.16401026868177482,9
1,2,7,1,10,0.018316093617551488,-0.11679983268783811,-0.01514920684032317,-1,0.9107760366033558,"False","",0.9595950283295261,"False","",0.006638676112320496,0.06859624663954467,0.1324291209145405,10
1,2,7,1,11,0.010713665559359598,-0.1150584892587867,-0.041589745545194345,-1,1.0793243695200174,"False","",1.0061936640553186,"False","",-0.011677417505230991,0.18539607932738278,0.14757832775486368,11
1,2,7,1,12,0.022966506109868945,0.09155489197889555,0.06074072452006751,-1,1.0525941697515133,"False","",0.9921152475714984,"False","",-0.02239108306459059,0.3004545685861695,0.18916807330005803,12
1,2,7,1,13,0.08042368408310807,0.2886364635294658,0.01672276328463873,-1,1.0614625494313998,"False","",1.1109818642892937,"False","",-0.045357589174459534,0.20889967660727393,0.1284273487799905,13
1,2,7,1,14,-0.027084751791850437,0.09354771848547294,0.20335005018218477,-1,1.082821186653156,"False","",1.1022671424926958,"False","",-0.1257812732575676,-0.07973678692219188,0.11170458549535178,14
1,2,7,1,15,-0.20071616473197196,-0.04244563149986291,0.015474934197352797,-1,1.0324740089644073,"False","",1.0215715465163526,"False","",-0.09869652146571717,-0.17328450540766482,-0.09164546468683299,15
1,2,7,1,16,0.05982721342139463,0.05505099522262302,0.02807142397843454,-1,1.0095307017485757,"False","",1.0234411702412882,"False","",0.10201964326625479,-0.1308388739078019,-0.10712039888418579,16
1,2,7,1,17,0.23650833266592208,-0.1951384526714941,-0.08623825404772334,-1,1.0122609973200252,"False","",0.9553374263500414,"False","",0.04219242984486016,-0.18588986913042493,-0.13519182286262033,17
1,2,7,1,18,-0.057154439803404955,0.10279166745770052,0.24185002361259,-1,0.9794628726073302,"False","",1.0287107064322987,"False","",-0.19431590282106193,0.009248583541069166,-0.048953568814896986,18
1,2,7,1,19,-0.21251891776582,0.18631843672298043,0.04026997130922738,-1,0.9687152070877041,"False","",0.9688464563328877,"False","",-0.13716146301765697,-0.09354308391663135,-0.290803592427487,19
