condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
2,6,4,2,"D:\combine0802\tsa\new (5)\ch1\7.-10\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-10_(+-1)_NewResult_0908XYnew.csv",0.197371368,0.17458234,0.279838004,0.276070457,0.019387762,0.017840641,0.018692276,0.026837796,TRUE,FALSE,-0.243326715,0,1,0,0,0,1.013473194,0.984956378,0.164951904,0.174161004,0.084900986,0.07498725,0.397783141,3.003228145
2,7,1,1,"D:\combine0802\tsa\newfolder(2,1)\ch1\10.-2\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-2_(+-1)_NewResult_0908XYnew.csv",0.217912869,0.212204301,0.221718729,0.213976349,0.022289343,0.01826689,0.012870923,0.011481405,FALSE,TRUE,0,-0.213079229,0,0,1,0,1.274094901,1.331181764,0.295613407,0.302501864,0.194458257,0.207400053,0.09000523,2.338494672
2,7,2,2,"D:\combine0802\tsa\newfolder(2,1)\ch1\11.-14\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\11.-14_(+-1)_NewResult_0908XYnew.csv",0.199707494,0.201240416,0.185355344,0.179975413,0.009708612,0.012751477,0.008179557,0.012133757,FALSE,FALSE,0,0,0,0,0,0,0.764715965,0.798373395,0.254650019,0.255300302,0.155577816,0.136242868,0.155896036,2.772848964
2,7,3,2,"D:\combine0802\tsa\newfolder(2,1)\ch1\13.-6\Path from Track_6 to Track_6.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\13.-6_(+-1)_NewResult_0908XYnew.csv",0.234980623,0.220067632,0.167010149,0.171722416,0.012198816,0.024464489,0.005510146,0.009141787,FALSE,TRUE,0,0.278944573,0,0,0,2,0.532955808,0.740290613,0.186447207,0.257741395,0.089609044,0.093634728,0.291058797,3.035368767
2,7,4,1,"D:\combine0802\tsa\newfolder(2,1)\ch1\7.-15\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\7.-15_(+-1)_NewResult_0908XYnew.csv",0.197809459,0.2011337,0.219559956,0.206670218,0.018258863,0.015880849,0.017904288,0.015536879,FALSE,FALSE,0,0,0,0,0,0,0.508440352,0.324417635,0.294667331,0.16468131,0.157013905,0.122849795,0.3274011,2.386066277
2,7,4,2,"D:\combine0802\tsa\newfolder(2,1)\ch1\7.-15\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\7.-15_(+-1)_NewResult_0908XYnew.csv",0.307910399,0.285441182,0.181235518,0.176125255,0.031013119,0.020307273,0.011879051,0.014956484,TRUE,TRUE,-0.428259151,0.254839369,5,0,0,2,0.324417635,0.508440352,0.16468131,0.294667331,0.122849795,0.157013905,0.3274011,2.386066277
2,7,5,1,"D:\combine0802\tsa\newfolder(2,1)\ch1\8.-4\Path from Track_4 to Track_4.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\8.-4_(+-1)_NewResult_0908XYnew.csv",0.200756265,0.21822634,0.214260285,0.211465132,0.009185426,0.010428065,0.010688662,0.013316302,FALSE,FALSE,0,0,0,0,0,0,0.624948847,0.720292366,0.231363354,0.23313643,0.165034661,0.179388883,0.176589711,2.518811424
2,7,5,2,"D:\combine0802\tsa\newfolder(2,1)\ch1\8.-4\Path from Track_8 to Track_8.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\8.-4_(+-1)_NewResult_0908XYnew.csv",0.251282674,0.246377769,0.198451186,0.19184282,0.021342579,0.024488539,0.01062685,0.007172503,FALSE,TRUE,0,-0.216358379,0,0,3,0,0.720292366,0.624948847,0.23313643,0.231363354,0.179388883,0.165034661,0.176589711,2.518811424
2,8,1,1,"D:\combine0802\tsa\newfolder(2,1) - new\ch1\11.-0\Path from Track_0 to Track_0.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\11.-0_(+-1)_NewResult_0908XYnew.csv",0.215583431,0.211492727,0.206954192,0.215576791,0.016660958,0.020546371,0.010081686,0.014320686,TRUE,TRUE,0.370750683,0.252547776,0,1,0,3,0.628089592,0.686959567,0.136494563,0.138506234,0.094450214,0.063088529,0.185804266,2.546432777
2,8,1,2,"D:\combine0802\tsa\newfolder(2,1) - new\ch1\11.-0\Path from Track_11 to Track_11.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 10}, Day]0908resultXYnew\newMethod\11.-0_(+-1)_NewResult_0908XYnew.csv",0.257346931,0.262901429,0.20107909,0.202074847,0.027963571,0.036462749,0.009867922,0.014222501,TRUE,TRUE,0.537303926,0.440077799,3,24,0,24,0.686959567,0.628089592,0.138506234,0.136494563,0.063088529,0.094450214,0.185804266,2.546432777
